Date,Rank_1_Stock,Rank_1_Return,Rank_2_Stock,Rank_2_Return,Rank_3_Stock,Rank_3_Return,Rank_4_Stock,Rank_4_Return,Rank_5_Stock,Rank_5_Return,Rank_6_Stock,Rank_6_Return,Rank_7_Stock,Rank_7_Return,Rank_8_Stock,Rank_8_Return,Rank_9_Stock,Rank_9_Return,Rank_10_Stock,Rank_10_Return
2016-06-28,WMT,0.0001402141096054077,VZ,0.0014613131335161622,AXP,0.003988213457175371,MRK,0.004881684210030102,KO,0.009136834520570902,BA,0.00969850289910501,UNH,0.011669296879137647,CVX,0.012654293249658055,MMM,0.014355080993959435,JNJ,0.01441464639888168
2016-06-29,HD,-0.0012545709491524892,SHW,0.0012067609756856168,HON,0.003506944231361553,VZ,0.004378015892855691,KO,0.005885017232915235,MCD,0.008354067489730221,AAPL,0.008655067193598098,JNJ,0.009303897306652154,DIS,0.009682550434007675,AMZN,0.010805839528702954
2016-06-30,V,-0.03348967423579663,AMZN,2.7933222965126348e-05,NKE,0.0012695626639311897,HD,0.002511988655397479,UNH,0.004838940717149409,CRM,0.005190010053452321,MCD,0.00711354924892027,NVDA,0.007717232511923244,WMT,0.007728463661325735,DIS,0.008661607376653668
2016-07-01,NVDA,-0.007445254719420591,JPM,-0.0064872432207983,CVX,-0.006486827421710917,KO,-0.004632637418160113,WMT,-0.0028757611823398976,UNH,-0.0024076916130801873,GS,-0.002221198994511564,TRV,-0.001595604784222493,BA,-0.0013860049997640456,AXP,-0.0011522089837096017
2016-07-05,JPM,-0.027913604567682215,CAT,-0.027076955832233573,GS,-0.025631759161219958,AXP,-0.0253748171634558,BA,-0.02097287940047976,CRM,-0.014530893583162507,HON,-0.010901396103278893,AAPL,-0.009385789509784082,NKE,-0.0073725371279783625,CSCO,-0.007358048978217457
2016-07-06,V,-0.008168781877955889,PG,-0.004799147777389878,KO,-0.003521903241284541,MMM,-0.002676122226585531,CRM,-0.00216099405726633,MCD,-0.0010765875647058554,BA,-7.895283907899397e-05,TRV,0.0006737033363946043,JNJ,0.003025954543657061,MSFT,0.004103757810748787
2016-07-07,VZ,-0.015641861298370863,CVX,-0.01463005451797661,UNH,-0.011096950608960543,TRV,-0.01052518582107942,MRK,-0.006423406089507422,HON,-0.006077204780919221,KO,-0.003976144743504939,WMT,-0.003928846474113512,HD,-0.003116284966553695,PG,-0.0023515664989933738
2016-07-08,JNJ,0.0027752966827032655,MCD,0.0032250877804971267,UNH,0.0033379207829360436,WMT,0.004216105667753212,TRV,0.004850668342136322,KO,0.006431641684140343,AAPL,0.007713421396895681,VZ,0.009389928947128867,MRK,0.009697029748544805,PG,0.011080611558365705
2016-07-11,UNH,-0.006724842477666915,AMGN,-0.005711095887194206,HON,-0.002272202212019181,PG,-0.00023333806163261528,MRK,-0.00016871271648066788,TRV,0.00033880380854900416,VZ,0.0005363137376757088,JNJ,0.0006512421243263233,V,0.0013080759307493306,NKE,0.0019395652163174404
2016-07-12,WMT,-0.010666967727628318,BA,-0.009315267996080623,VZ,-0.008224276051571056,AMZN,-0.007389413605035089,SHW,-0.00491571983999084,UNH,-0.0032782247183863467,HD,-0.0022936337072434476,TRV,-0.00025399676326365306,JNJ,-8.12706884287806e-05,PG,0.0
2016-07-13,HD,-0.009492824094454178,AMGN,-0.008891259931031015,AMZN,-0.007457781419643927,CRM,-0.007323251771984451,AAPL,-0.005645686049113752,BA,-0.005351166036732802,DIS,-0.0031934258679714445,CAT,-0.0013787881278440883,CVX,-0.0012180156308914114,NKE,-0.0012058713334609505
2016-07-14,UNH,-0.004523784962200739,VZ,-0.002857335571573749,SHW,-0.0020856691740643862,AMZN,-0.0019255583636402784,KO,-0.001092736759156332,PG,-0.0002326619856568568,CSCO,0.0003364271913623984,HON,0.00033645143252480914,CVX,0.00046896320234113276,DIS,0.0009008972689978911
2016-07-15,NVDA,-0.011628035290393579,NKE,-0.010600310534483626,AMZN,-0.007771235927900411,GS,-0.005537108139456737,IBM,-0.0031198016853598576,MCD,-0.0025818906223085136,CRM,-0.0019616631599582712,DIS,-0.00170038236820369,JNJ,-0.001461206490447453,KO,-0.0013133117931337646
