Date,Capital
2016-06-24,100000.0
2016-06-27,100000.0
2016-06-28,101614.269
2016-06-29,102723.9513
2016-06-30,103093.6018
2016-07-01,102312.854
2016-07-05,103050.2978
2016-07-06,102987.2074
2016-07-07,104155.6182
2016-07-08,104263.4899
2016-07-11,104697.6588
2016-07-12,104792.8649
2016-07-13,105501.1906
2016-07-14,105495.5577
2016-07-15,105745.5539
2016-07-18,105781.055
2016-07-19,106524.4656
2016-07-20,106381.9661
2016-07-21,106816.5497
2016-07-22,106464.0876
2016-07-25,105989.1887
2016-07-26,106003.5239
2016-07-27,106185.9581
2016-07-28,106319.7806
2016-07-29,106277.5394
2016-08-01,105806.9403
2016-08-02,106029.414
2016-08-03,106234.213
2016-08-04,106916.5307
2016-08-05,106760.1473
2016-08-08,106545.7689
2016-08-09,106277.9606
2016-08-10,107487.0108
2016-08-11,107378.7182
2016-08-12,107611.8242
2016-08-15,106679.8953
2016-08-16,106823.1151
2016-08-17,107055.0678
2016-08-18,107130.2906
2016-08-19,107238.0527
2016-08-22,107620.2337
2016-08-23,107189.4806
2016-08-24,106691.1679
2016-08-25,106638.7434
2016-08-26,107165.9471
2016-08-29,106706.0547
2016-08-30,106486.8429
2016-08-31,106562.034
2016-09-01,106873.2536
2016-09-02,107118.0675
2016-09-06,106936.217
2016-09-07,106870.0901
2016-09-08,104642.5127
2016-09-09,106375.0089
2016-09-12,104681.7019
2016-09-13,104995.6478
2016-09-14,105965.7621
2016-09-15,105246.1514
2016-09-16,105603.4807
2016-09-19,105869.7274
2016-09-20,107365.4692
2016-09-21,108191.9489
2016-09-22,107498.7046
2016-09-23,106773.5982
2016-09-26,107672.2312
2016-09-27,108448.9795
2016-09-28,107218.9792
2016-09-29,108282.4147
2016-09-30,107892.194
2016-10-03,107596.6821
2016-10-04,108074.1286
2016-10-05,108208.8179
2016-10-06,108027.9143
2016-10-07,108723.2787
2016-10-10,107890.9885
2016-10-11,107767.1031
2016-10-12,107332.4358
2016-10-13,108087.442
2016-10-14,107627.8137
2016-10-17,108093.2078
2016-10-18,108229.9151
2016-10-19,108194.6046
2016-10-20,108574.3514
2016-10-21,108805.126
2016-10-24,108896.6419
2016-10-25,108907.3199
2016-10-26,108747.3622
2016-10-27,109107.0314
2016-10-28,109093.6229
2016-10-31,108298.1281
2016-11-01,108042.0742
2016-11-02,107632.5483
2016-11-03,107429.3929
2016-11-04,109613.2315
2016-11-07,110541.6103
2016-11-08,112485.0727
2016-11-09,111616.2225
2016-11-10,115358.6057
2016-11-11,114994.904
2016-11-14,116138.1697
2016-11-15,115854.1046
2016-11-16,116370.6233
2016-11-17,116266.0843
2016-11-18,117009.6742
2016-11-21,117110.1994
2016-11-22,116701.9927
2016-11-23,117335.0427
2016-11-25,116507.2134
2016-11-28,116223.451
2016-11-29,115915.6769
2016-11-30,114395.4716
2016-12-01,114569.9108
2016-12-02,115796.6462
2016-12-05,116145.9433
2016-12-06,118094.6883
2016-12-07,118434.3154
2016-12-08,119180.8094
2016-12-09,118275.7183
2016-12-12,119505.3561
2016-12-13,118611.6873
2016-12-14,118836.1417
2016-12-15,118718.7457
2016-12-16,118753.3747
2016-12-19,118712.9699
2016-12-20,118549.207
2016-12-21,118472.6007
2016-12-22,118546.678
2016-12-23,118644.1195
2016-12-27,118000.6137
2016-12-28,118222.5212
2016-12-29,117843.1302
2016-12-30,118416.0284
2017-01-03,118865.171
2017-01-04,118888.0596
2017-01-05,119260.2904
